id,text,tags
1_na,"守门人关闭了。神殿安静下来。",#cgid:cg_now_dark
2_b,"§Ø_∆.µΩ！",#char@1:a1,#char@2:b1,#istalking:a1
3_a,"……别喊了。我听得见。",#char@1:a1,#char@2:b1,#istalking:b1
4_b,"我们走。我带你离开这里。离开了你就会好的。",#char@1:a1,#char@2:b1,#istalking:a1
5_a,"_99[k]r。",#char@1:a1,#char@2:b1,#istalking:b1
6_a,"你知道来不及了。",#char@1:a1,#char@2:b1,#istalking:b1
7_b,"……",#char@1:a1,#char@2:b1
8_a,"帮我把笔记都带回去。",#char@1:a1,#char@2:b1,#istalking:b1
9_a,"还有那个理论……相对论。让大家知道时间的真相。",#char@1:a1,#char@2:b1,#istalking:b1
10_a,"这样以后就不会有人像我一样，走了几年却错过了几十年。",#char@1:a1,#char@2:b1,#istalking:b1
11_b,"§Ø_∆.µΩ……",#char@1:a1,#char@2:b1,#istalking:a1
12_a,"_99[k]r，谢谢你来找我。",#char@1:a1,#char@2:b1,#istalking:b1
13_a,"我写'不用找我'的时候……其实特别希望你来。",#char@1:a1,#char@2:b1,#istalking:b1
14_b,"我知道。",#char@1:a1,#char@2:b1,#istalking:a1
15_a,"嗯。",#char@1:a1,#char@2:b1,#istalking:b1
16_a,"你一直都懂。",#char@1:a1,#char@2:b1,#istalking:b1
17_na,"§Ø_∆.µΩ闭上了眼睛。"
18_na,"……"
19_na,"很久以后。",#cgid:cg_now
20_na,"_99[k]r带着所有的笔记、人类的遗产和相对论的知识，踏上了回西格纳鲁的归途。"
21_na,"她带回了两份遗产——"
22_na,"一个灭绝文明的记忆。"
23_na,"和一个朋友走过的路。"
24_na,"身后，数字神殿熄灭了最后一盏灯。"
